algo,n,delta,alpha,trials,inserted_mean,inserted_std,max_elements,insert_fail_rate,insert_ns_per_op_mean,insert_ns_per_op_std,insert_probes_p99_mean,insert_probes_p99_std,hit_ns_per_op_mean,hit_ns_per_op_std,hit_probes_p99_mean,hit_probes_p99_std,inserted_frac_mean
elastic,16384,0.05,0.95,3,6147.0,0.0,15565.0,1.0,1955.443468358549,145.82431647505695,8.666666666666666,0.5773502691896255,721.7883333333333,17.009329256935246,5134.333333333333,9.237604307033946,0.39492451011885643
elastic,65536,0.05,0.95,3,24579.0,0.0,62260.0,1.0,1836.4446207467079,23.434254843227485,9.0,0.0,798.0733333333334,75.02112303933694,3898.8666666666554,2158.3662463385167,0.39477995502730484
elastic,262144,0.05,0.95,3,98307.0,0.0,249037.0,1.0,1962.2138911776374,35.693619863144555,9.0,0.0,1207.7079166666665,171.98124083899623,3893.586666666655,2153.8081939981143,0.394748571497408
elastic,1048576,0.05,0.95,3,393219.0,0.0,996148.0,1.0,2170.2993615940904,113.32268206389985,9.0,0.0,1351.70125,108.24510122431637,5171.933333333333,36.62718844428753,0.3947395366953505
funnel,16384,0.05,0.95,3,15565.0,0.0,15565.0,0.0,2031.8886818717208,33.695437359492075,42.333333333333336,0.5773502691896247,2188.2808333333337,30.992652161776252,42.673333333333325,0.5832095106677596,1.0
funnel,65536,0.05,0.95,3,62260.0,0.0,62260.0,0.0,2031.8447317699968,19.921072658856986,42.0,0.0,2278.1075,105.16851498309761,41.00333333333333,1.00001666652778,1.0
funnel,262144,0.05,0.95,3,249037.0,0.0,249037.0,0.0,2089.700359116651,107.82983659917873,42.0,0.0,2469.3925,245.76835866065045,41.00999999999999,1.0,1.0
funnel,1048576,0.05,0.95,3,996148.0,0.0,996148.0,0.0,2500.6547862365837,193.63943064587664,42.0,0.0,3522.0658333333336,98.51000563341692,41.676666666666655,1.5275252316519468,1.0
uniform,16384,0.05,0.95,3,15565.0,0.0,15565.0,0.0,8690.647671056859,3384.1766872356748,26.333333333333332,1.1547005383792517,6478.59375,293.3672371070303,23.68333333333332,0.5744852768638504,1.0
uniform,65536,0.05,0.95,3,62260.0,0.0,62260.0,0.0,6429.533627797408,353.7557007991823,26.0,1.0,6640.260833333334,459.42485991715324,25.01333333333332,3.5902971093397595,1.0
uniform,262144,0.05,0.95,3,249037.0,0.0,249037.0,0.0,7096.942254899205,514.6003270105223,26.0,0.0,7085.625,441.3974216179081,26.00666666666666,2.65332495811073,1.0
uniform,1048576,0.05,0.95,3,996148.0,0.0,996148.0,0.0,7376.315985844139,446.5147984561059,26.0,0.0,8452.708333333334,211.9246331885073,25.023333333333312,2.9750014005599175,1.0
