algo,n,delta,alpha,trial,seed,max_elements,inserted,insert_fail,insert_ns_total,insert_ns_per_op,insert_probes_mean,insert_probes_p50,insert_probes_p90,insert_probes_p99,insert_probes_max,hit_q,hit_found,hit_ns_total,hit_ns_per_op,hit_probes_mean,hit_probes_p50,hit_probes_p90,hit_probes_p99,hit_probes_max,miss_q,miss_found,miss_ns_per_op,miss_probes_mean,miss_probes_p50,miss_probes_p90,miss_probes_p99,miss_probes_max,notes
uniform,50000,0.02,0.98,1,0,49000,49000,0,532920500,10875.92857142857,3.992,1.0,8.0,43.0,261.0,3000,3000,30817375,10272.458333333334,3.8353333333333333,1.0,8.0,40.0,225.0,0,0,nan,nan,nan,nan,nan,nan,
elastic,50000,0.02,0.98,1,0,49000,18758,1,34621458,1845.6902654867256,1.8303657106301312,1.0,4.0,9.0,38.0,3000,3000,2273083,757.6943333333334,338.129,89.0,345.0,5145.0,20745.0,0,0,nan,nan,nan,nan,nan,nan,
funnel,50000,0.02,0.98,1,0,49000,49000,0,109749875,2239.793367346939,17.454326530612246,12.0,39.0,66.0,80.0,3000,3000,7202541,2400.847,17.109333333333332,12.0,38.0,64.0,77.0,0,0,nan,nan,nan,nan,nan,nan,
uniform,50000,0.2,0.8,2,0,40000,40000,0,218576791,5464.419775,2.004425,1.0,4.0,10.0,32.0,3000,3000,16939250,5646.416666666667,2.017333333333333,1.0,4.0,11.0,24.0,0,0,nan,nan,nan,nan,nan,nan,
elastic,50000,0.2,0.8,2,0,40000,18758,1,36551667,1948.5908412410704,1.8367629811280521,1.0,4.0,9.0,23.0,3000,3000,2269500,756.5,344.1263333333333,89.0,1289.0,5145.0,20553.0,0,0,nan,nan,nan,nan,nan,nan,
funnel,50000,0.2,0.8,2,0,40000,40000,0,65535208,1638.3802,5.793875,5.0,12.0,16.0,20.0,3000,3000,5234500,1744.8333333333333,5.730333333333333,5.0,12.0,17.0,20.0,0,0,nan,nan,nan,nan,nan,nan,
uniform,50000,0.1,0.9,2,0,45000,45000,0,313222583,6960.501844444444,2.574222222222222,1.0,5.0,18.0,68.0,3000,3000,21907958,7302.652666666667,2.608,1.0,5.0,17.0,68.0,0,0,nan,nan,nan,nan,nan,nan,
elastic,50000,0.1,0.9,2,0,45000,18758,1,34632042,1846.2545047446422,1.8367629811280521,1.0,4.0,9.0,23.0,3000,3000,2264250,754.75,344.1263333333333,89.0,1289.0,5145.0,20553.0,0,0,nan,nan,nan,nan,nan,nan,
funnel,50000,0.1,0.9,2,0,45000,45000,0,83165750,1848.1277777777777,9.010933333333334,7.0,19.0,28.0,34.0,3000,3000,5989625,1996.5416666666667,8.918666666666667,7.0,20.0,28.0,32.0,0,0,nan,nan,nan,nan,nan,nan,
uniform,50000,0.05,0.95,2,0,47500,47500,0,400120084,8423.580715789474,3.155305263157895,1.0,7.0,26.0,92.0,3000,3000,25361000,8453.666666666666,3.091,1.0,7.0,23.0,82.0,0,0,nan,nan,nan,nan,nan,nan,
elastic,50000,0.05,0.95,2,0,47500,18758,1,34260000,1826.4207271564132,1.8367629811280521,1.0,4.0,9.0,23.0,3000,3000,2217917,739.3056666666666,344.1263333333333,89.0,1289.0,5145.0,20553.0,0,0,nan,nan,nan,nan,nan,nan,
funnel,50000,0.05,0.95,2,0,47500,47500,0,96227875,2025.85,12.435263157894736,9.0,27.0,42.0,51.0,3000,3000,6467125,2155.7083333333335,12.111666666666666,9.0,27.0,41.0,47.0,0,0,nan,nan,nan,nan,nan,nan,
uniform,50000,0.02,0.98,2,0,49000,49000,0,518177708,10575.055265306122,3.9910408163265307,1.0,8.0,42.0,278.0,3000,3000,32755750,10918.583333333334,3.9846666666666666,1.0,9.0,43.0,139.0,0,0,nan,nan,nan,nan,nan,nan,
elastic,50000,0.02,0.98,2,0,49000,18758,1,34434167,1835.7056722465081,1.8367629811280521,1.0,4.0,9.0,23.0,3000,3000,2208125,736.0416666666666,344.1263333333333,89.0,1289.0,5145.0,20553.0,0,0,nan,nan,nan,nan,nan,nan,
funnel,50000,0.02,0.98,2,0,49000,49000,0,110100584,2246.950693877551,17.461530612244896,12.0,39.0,66.01000000000204,85.0,3000,3000,7225542,2408.514,16.983666666666668,12.0,37.0,67.0,82.0,0,0,nan,nan,nan,nan,nan,nan,
